number,state,value,datetime_start,datetime_complete,duration_s,params_data.batch_size,params_model.dim,params_model.heads,params_model.masking.block_scale,params_model.masking.disk_scale,params_model.masking.level_allocation,params_model.masking.spatial_pattern,params_model.masking_ratio,params_model.num_layers,params_optim.gradient_clip_val,params_optim.lr,params_optim.warmup_epochs,user_attrs_device_hours,user_attrs_dstream/delta_r2,user_attrs_dstream/delta_r2@0.5,user_attrs_dstream/delta_r2@0.75,user_attrs_dstream/n_rows,user_attrs_dstream/r2,user_attrs_dstream/r2_baseline,user_attrs_dstream/self_check_ratio,user_attrs_epochs_completed,user_attrs_global_step,user_attrs_params_total,user_attrs_params_trainable,user_attrs_samples_per_sec,user_attrs_samples_seen,user_attrs_sec_per_epoch,user_attrs_steps_per_sec,user_attrs_sys/dataloader_wait_s,user_attrs_sys/samples_per_sec_step,user_attrs_torch_mem_peak_alloc_gb,user_attrs_torch_mem_peak_reserved_gb,user_attrs_train/batch_size,user_attrs_train/grad_clip_frac,user_attrs_train/grad_clip_frac_epoch,user_attrs_train/grad_clip_frac_step,user_attrs_train/grad_norm,user_attrs_train/grad_norm_decoder,user_attrs_train/grad_norm_encoder,user_attrs_train/input_mean,user_attrs_train/learning_rate,user_attrs_train/loss,user_attrs_train/loss_epoch,user_attrs_train/loss_step,user_attrs_train/weight_norm,user_attrs_trial_dir,user_attrs_val/loss,user_attrs_val/loss_level_1,user_attrs_val/loss_level_16,user_attrs_val/loss_level_8,user_attrs_val/target_var_level_1,user_attrs_val/target_var_level_16,user_attrs_val/target_var_level_8,user_attrs_wall_time_h,user_attrs_wall_time_s,user_attrs_world_size
0,COMPLETE,0.21789764142153575,2026-09-13 19:28:27.723738,2026-09-13 20:10:27.968370,2520.244632,16,512,2,2.280962938959233,0.8488473674763856,uniform,isotropic_disk,0.7309412945246689,12,0.1716809293081549,0.0004933134661531962,6,0.6986,0.21789764142153575,0.20822978449062712,0.22756549835244433,768.0,0.8611574877783369,0.6432598463568012,1.0278141192805093,30.0,18750.0,27658836.0,27658836.0,119.284,300000.0,83.83,7.4553,0.0013676569797098637,146.31040954589844,8.282,9.057,16.0,0.0,0.0,0.0,0.0028369806241244078,0.001005279365926981,0.002524246694520116,0.5349574685096741,2.1101825495861704e-06,0.002308112569153309,0.002308112569153309,0.002378117758780718,217.94204711914062,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0000,0.0021822743583470583,0.004584957379847765,0.0005911764455959201,0.0013706897152587771,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.6986,2515.0,1.0
1,COMPLETE,0.20203242201323754,2026-09-13 19:28:27.884987,2026-09-13 21:52:59.062817,8671.17783,8,384,4,1.0303275961604885,0.9165239691095876,uniform,anisotropic_block,0.8438226692851749,15,0.8830109334221372,0.00036000911929116066,10,2.407,0.20203242201323754,0.18591316280198097,0.21815168122449405,768.0,0.8452922683700388,0.6432598463568012,1.0403422183805615,30.0,37500.0,19942602.0,19942602.0,34.622,300000.0,288.84,4.3277,0.0010379226878285408,40.39467239379883,2.91,3.053,8.0,0.0,0.0,0.0,0.005931676831096411,0.0024359470698982477,0.005156121216714382,0.5378206372261047,2.216154825873673e-06,0.004773247987031937,0.004773247987031937,0.0056462278589606285,208.66690063476562,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0001,0.004560726694762707,0.01126171462237835,0.0007792840478941798,0.0016411826945841312,0.029001304879784584,0.011413735337555408,0.012696273624897003,2.407,8665.1,1.0
2,COMPLETE,0.06382502576719404,2026-09-13 19:28:27.886867,2026-09-13 20:27:06.629142,3518.742275,8,384,8,1.6259572035506904,0.8617379656891503,redundancy,anisotropic_block,0.7474504706192139,9,0.2782913401763909,1.9088591198098547e-05,9,0.9706,0.06382502576719404,-0.011985890721820555,0.13963594225620862,768.0,0.7070848721239953,0.6432598463568012,1.0344707306340706,30.0,37500.0,12848037.0,12848037.0,85.856,300000.0,116.47,10.732,0.000991974025964737,112.6508560180664,2.633,2.873,8.0,0.0,0.0,0.0,0.021894654259085655,0.013701298274099827,0.016635427251458168,0.5378206372261047,1.0660189531108699e-07,0.006075985264033079,0.006075985264033079,0.007230978459119797,151.9777069091797,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0002,0.005741515662521124,0.014441380277276039,0.0009604394435882568,0.0018227288965135813,0.029001304879784584,0.011413735337555408,0.012696273624897003,0.9706,3494.2,1.0
3,COMPLETE,0.1135208023933728,2026-09-13 19:28:39.272655,2026-09-13 23:43:04.603681,15265.331026,8,512,8,1.0134791465013324,0.8273142565287259,uniform,anisotropic_block,0.7230070016051855,6,0.9609876709428123,1.225519189288573e-05,5,4.2376,0.1135208023933728,0.05644714861856892,0.17059445616817667,768.0,0.756780648750174,0.6432598463568012,1.0506498375176254,30.0,37500.0,15052941.0,15052941.0,19.665,300000.0,508.52,2.4581,0.002095523290336132,24.192319869995117,2.642,2.846,8.0,0.0,0.0,0.0,0.021747784689068794,0.012452647089958191,0.017681926488876343,0.5378206372261047,4.831792566051263e-08,0.005203123204410076,0.005203123204410076,0.006175007205456495,150.84925842285156,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0003,0.004983474500477314,0.01241956278681755,0.0008321437053382397,0.0016987196868285537,0.029001304879784584,0.011413735337555408,0.012696274556219578,4.2376,15255.5,1.0
4,COMPLETE,0.18443177562201338,2026-09-13 19:34:16.353573,2026-09-13 20:31:02.566245,3406.212672,16,768,8,1.621352528621577,0.8092159865467295,redundancy,anisotropic_disk,0.7304560852679578,11,0.6218540291705905,0.0001809571792008261,6,0.9374,0.18443177562201338,0.16219318877252614,0.2066703624715006,768.0,0.8276916219788147,0.6432598463568012,1.05815850100853,30.0,18750.0,54895581.0,54895581.0,88.903,300000.0,112.48,5.5564,0.0013637220254167914,116.95488739013672,9.816,10.223,16.0,0.0,0.0,0.0,0.005352681502699852,0.0029984430875629187,0.004309669602662325,0.5349574685096741,7.740569003544806e-07,0.003321712836623192,0.003321712836623192,0.0034935527946799994,227.83428955078125,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0004,0.00334391207434237,0.008025011047720909,0.0006730622844770551,0.0013336633564904332,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.9374,3374.5,1.0
5,COMPLETE,0.22192082736084848,2026-09-13 19:34:16.358418,2026-09-13 20:25:11.312657,3054.954239,16,256,4,2.2297872953827618,0.8326401869632362,redundancy,isotropic_disk,0.7370193343764659,10,0.8413834893134692,0.0005656337442019726,1,0.8406,0.22192082736084848,0.21174885880839214,0.23209279591330478,768.0,0.8651806737176497,0.6432598463568012,1.0345182471983179,30.0,18750.0,7226426.0,7226426.0,99.139,300000.0,100.87,6.1962,0.0013377920258790255,233.96078491210938,4.33,4.809,16.0,0.0,0.0,0.0,0.003691861405968666,0.0013766661286354065,0.003316419431939721,0.5349574685096741,1.6578845816184185e-06,0.00278906780295074,0.00278906780295074,0.0029800746124237776,144.4073028564453,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0005,0.002688555745407939,0.005981861613690853,0.0006772687775082886,0.0014065357390791178,0.029197249561548233,0.011517882347106934,0.012816101312637329,0.8406,3026.0,1.0
6,COMPLETE,0.21373925839201272,2026-09-13 19:34:16.471466,2026-09-13 20:29:42.173528,3325.702062,8,384,2,1.3200780303698734,0.8404247923635366,redundancy,isotropic_disk,0.7256346266173181,6,0.12240930479531321,0.0007284706174508084,7,0.9158,0.21373925839201272,0.204289906643262,0.2231886101407635,768.0,0.856999104748814,0.6432598463568012,1.0492761617465383,30.0,37500.0,9301524.0,9301524.0,90.992,300000.0,109.9,11.374,0.0009639339987188578,197.7921142578125,2.49,2.773,8.0,0.0,0.0,0.0,0.0028597565833479166,0.0017504796851426363,0.0020520451944321394,0.5378206372261047,3.392507323951577e-06,0.0028684164863079786,0.0028684164863079786,0.0033541906159371138,192.1540069580078,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0006,0.0027749817818403244,0.006250147707760334,0.000669137283693999,0.001405657734721899,0.029001304879784584,0.011413735337555408,0.012696273624897003,0.9158,3297.0,1.0
7,COMPLETE,0.15372936163815412,2026-09-13 19:38:36.017168,2026-09-13 20:36:17.458255,3461.441087,8,384,4,1.0359728235657482,0.8617708175981764,redundancy,anisotropic_disk,0.6887494245611411,8,0.4735910773090627,3.2999312639278114e-05,3,0.9529,0.15372936163815412,0.1417658463449832,0.16569287693132503,768.0,0.7969892079949554,0.6432598463568012,1.0481182670386198,30.0,37500.0,11665914.0,11665914.0,87.452,300000.0,114.35,10.9315,0.0009971349500119686,148.8582305908203,2.812,3.084,8.0,0.0,0.0,0.0,0.016933929175138474,0.007971729151904583,0.014820180833339691,0.5378206372261047,1.1156477341955906e-07,0.0036921619903296232,0.0036921619903296232,0.004440370015799999,147.80572509765625,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0007,0.0036204715725034475,0.008718911558389664,0.0007133616018109024,0.001429141266271472,0.029001304879784584,0.011413735337555408,0.012696273624897003,0.9529,3430.5,1.0
8,COMPLETE,0.2185045611902365,2026-09-13 20:10:27.976092,2026-09-13 20:35:27.213275,1499.237183,32,384,8,2.4468266201338826,0.8500016722340433,uniform,iid,0.7888691432865356,8,0.40745228740399875,0.0006012292872324014,6,0.4153,0.2185045611902365,0.20522946988011903,0.231779652500354,768.0,0.8617644075470378,0.6432598463568012,1.0363080754474523,30.0,9360.0,11665677.0,11665677.0,200.316,299520.0,49.84,6.2599,0.002444515936076641,314.4000244140625,8.401,8.926,32.0,0.0,0.0,0.0,0.0031779820565134287,0.0012931524543091655,0.0027421419508755207,0.5419158935546875,2.5717999960761517e-06,0.0034765233285725117,0.0034765233285725117,0.0031953915022313595,154.19082641601562,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0008,0.0032932653557509184,0.007622124161571264,0.000717944756615907,0.0015397275565192103,0.029257824644446373,0.011561979539692402,0.01286841556429863,0.4153,1495.2,1.0
9,COMPLETE,0.15657103761493496,2026-09-13 20:25:11.321942,2026-09-13 21:26:29.943142,3678.6212,16,768,8,2.1197660757774774,0.8948141134823376,redundancy,iid,0.723454389452142,16,0.9904418634520021,6.489565080664834e-05,5,1.0134,0.15657103761493496,0.12029517713879112,0.1928468980910788,768.0,0.7998308839717363,0.6432598463568012,1.058055091066099,30.0,18750.0,78515661.0,78515661.0,82.232,300000.0,121.61,5.1395,0.001427061972208321,99.11451721191406,13.105,13.562,16.0,0.0,0.0,0.0,0.010904313996434212,0.004299645312130451,0.009863280691206455,0.5349574685096741,2.5586078322703543e-07,0.003883684054017067,0.003883684054017067,0.004203973803669214,256.1828308105469,/scratch/robertson/embl_MuV3D/MuV3D_runs/3D_data/v4_tune_deepz_2026-09-13_192725/trials/trial_0009,0.0037991090212017298,0.00917478371411562,0.0007555031916126609,0.001467040739953518,0.029197249561548233,0.011517882347106934,0.012816101312637329,1.0134,3648.2,1.0
